canton,canton_norm,area_km2,n_sismos,mag_max,prof_media_km,energia_total_j,primer_sismo,ultimo_sismo,n_sismos_someros,energia_somera_j,mag_max_somera,provincia,poblacion_2022,densidad_hab_km2
Jama,JAMA,583.5323630216214,29.0,6.6,20.971379310344826,764838214872846.0,1985-06-25 20:00:44.600000+00:00,2026-02-15 09:37:03.656000+00:00,29.0,764838214872846.0,6.6,Manabí,16588.0,28.426872357352647
Jaramijo,JARAMIJO,97.98037424234009,1.0,4.0,29.0,63095734448.019424,2013-04-05 02:19:26.830000+00:00,2013-04-05 02:19:26.830000+00:00,1.0,63095734448.019424,4.0,Manabí,29759.0,303.72408995290704
Jipijapa,JIPIJAPA,1479.0198015640208,11.0,6.1,35.09190909090909,124009313054780.25,1987-07-31 19:05:46.520000+00:00,2024-12-14 18:05:16.955000+00:00,10.0,123831485113776.36,6.1,Manabí,78117.0,52.816737083163815
Junin,JUNIN,248.22725902694913,1.0,4.1,33.0,89125093813.3744,2001-05-28 10:00:15.250000+00:00,2001-05-28 10:00:15.250000+00:00,1.0,89125093813.3744,4.1,Manabí,22324.0,89.93371673808139
La Concordia,LA CONCORDIA,326.5747160678978,0.0,,,0.0,,,0.0,0.0,,Santo Domingo de los Tsáchilas,51386.0,157.34837227667188
La Joya de los Sachas,LA JOYA DE LOS SACHAS,1205.1328174888852,0.0,,,0.0,,,0.0,0.0,,Orellana,52444.0,43.517195149723555
La Libertad,LA LIBERTAD,25.472080495408246,0.0,,,0.0,,,0.0,0.0,,Santa Elena,112247.0,4406.66792099037
La Mana,LA MANA,661.2769641396836,5.0,5.0,70.8836,3351340443599.524,1985-08-28 18:44:00.240000+00:00,2023-11-07 03:33:46.457000+00:00,2.0,2995262314968.883,5.0,Cotopaxi,53793.0,81.34715545396972
La Troncal,LA TRONCAL,321.27067072730813,2.0,4.9,67.2695,1913724778250.0269,1983-06-01 12:23:50.280000+00:00,2022-06-29 13:53:13.368000+00:00,1.0,1412537544622.7554,4.9,Cañar,62103.0,193.30429341529438
Lago Agrio,LAGO AGRIO,3163.420587843013,0.0,,,0.0,,,0.0,0.0,,Sucumbíos,105044.0,33.20582802163039
Las Golondrinas,LAS GOLONDRINAS,128.9206165980525,0.0,,,0.0,,,0.0,0.0,,,0.0,0.0
Las Lajas,LAS LAJAS,300.46334469505683,3.0,4.5,53.294000000000004,669097766832.5537,1988-11-22 21:45:59.680000+00:00,2024-01-28 05:19:05.061000+00:00,2.0,606002032384.5343,4.5,El Oro,5738.0,19.097171423101717
Las Naves,LAS NAVES,149.83909094948726,0.0,,,0.0,,,0.0,0.0,,Bolívar,7012.0,46.79686692949731
Latacunga,LATACUNGA,1394.2443928074804,1.0,4.3,10.0,177827941003.89227,2005-03-16 06:17:57.690000+00:00,2005-03-16 06:17:57.690000+00:00,1.0,177827941003.89227,4.3,Cotopaxi,217261.0,155.82705666294171
Limon Indanza,LIMON INDANZA,1815.7845844191083,6.0,4.8,92.3415,3128229375320.279,1993-09-04 03:44:03.560000+00:00,2025-09-20 12:46:06.042000+00:00,0.0,0.0,,Morona Santiago,9602.0,5.288072209882648
Logroño,LOGRONO,1177.223093044375,16.0,5.2,40.68125,13706944487780.46,1988-12-13 02:47:42.370000+00:00,2012-03-06 18:14:08.400000+00:00,14.0,11939593553924.13,5.2,Morona Santiago,7484.0,6.357333664467872
Loja,LOJA,1907.657290443663,5.0,5.9,86.03999999999999,47585438017492.086,1993-05-08 14:42:59.280000+00:00,2007-09-26 04:43:17.610000+00:00,1.0,707945784384.1403,4.7,Loja,250028.0,131.065470329763
Lomas de Sargentillo,LOMAS DE SARGENTILLO,67.22180949504217,0.0,,,0.0,,,0.0,0.0,,Guayas,22254.0,331.05327225149017
Loreto,LORETO,2157.8085391607274,5.0,5.4,28.362000000000002,11127196377008.871,1989-03-02 14:10:28.570000+00:00,2021-04-19 17:13:54.406000+00:00,5.0,11127196377008.871,5.4,Orellana,27720.0,12.846366810088536
Macara,MACARA,581.158620140959,10.0,5.1,63.030899999999995,9080749213973.055,1998-07-12 08:02:10.640000+00:00,2026-06-13 06:35:39.995000+00:00,4.0,2008274609308.2432,4.9,Loja,18215.0,31.342561856145203
Machala,MACHALA,325.54900031033543,5.0,5.4,50.3156,12676580109431.977,2005-11-22 14:31:45.410000+00:00,2023-08-21 05:24:12.006000+00:00,4.0,9858197178167.527,5.4,El Oro,306309.0,940.8998329222496
Manga del Cura,MANGA DEL CURA,486.7024325571034,0.0,,,0.0,,,0.0,0.0,,,0.0,0.0
Manta,MANTA,294.27635791800185,36.0,5.7,15.03611111111111,44503825131871.64,1987-04-26 10:07:18+00:00,2026-07-31 01:10:00.736000+00:00,36.0,44503825131871.64,5.7,Manabí,271145.0,921.395799235604
Marcabeli,MARCABELI,149.60229076275436,2.0,4.6,69.6,564282968075.2909,2007-12-25 04:31:19.190000+00:00,2015-10-04 15:56:40.730000+00:00,1.0,501187233627.2715,4.6,El Oro,6870.0,45.921756712233346
Mejia,MEJIA,1493.4854790726952,2.0,4.7,8.86,1209133018011.4116,2020-10-27 11:59:18.785000+00:00,2025-08-16 10:47:02.299000+00:00,2.0,1209133018011.4116,4.7,Pichincha,101894.0,68.22563823202752
Mera,MERA,529.9858142411414,8.0,5.4,163.17275,12709501639713.621,1995-01-07 02:13:28.030000+00:00,2026-03-26 18:10:02.396000+00:00,0.0,0.0,,Pastaza,15087.0,28.466799666331212
Milagro,MILAGRO,407.64291527625375,6.0,5.4,91.64333333333333,12831788137247.486,1989-10-12 18:33:08.480000+00:00,2020-08-23 00:52:38.150000+00:00,1.0,1995262314968.8828,5.0,Guayas,195943.0,480.67313979248786
Mira,MIRA,587.1264627089632,2.0,4.8,15.7,1125892541179.4172,2009-04-03 15:46:48.070000+00:00,2014-10-20 19:46:01.850000+00:00,2.0,1125892541179.4172,4.8,Carchi,12727.0,21.676760984811434
Mocache,MOCACHE,572.1638771343062,1.0,4.7,101.35,707945784384.1403,2020-05-30 12:40:07.738000+00:00,2020-05-30 12:40:07.738000+00:00,0.0,0.0,,Los Ríos,42026.0,73.45098437616865
Mocha,MOCHA,86.24755604945503,0.0,,,0.0,,,0.0,0.0,,Tungurahua,7260.0,84.17629823431818
Montalvo,MONTALVO,365.4964903930281,0.0,,,0.0,,,0.0,0.0,,Los Ríos,28354.0,77.57666829990676
Montecristi,MONTECRISTI,758.0142382911099,62.0,6.2,25.650629032258063,324271328198137.6,1983-07-21 06:46:02.870000+00:00,2025-06-14 03:31:36.618000+00:00,62.0,324271328198137.6,6.2,Manabí,99937.0,131.84053141970128
Montufar,MONTUFAR,386.9794382262799,1.0,5.7,2.544,22387211385683.47,2022-07-25 13:33:28.666000+00:00,2022-07-25 13:33:28.666000+00:00,1.0,22387211385683.47,5.7,Carchi,29590.0,76.46401094493741
Morona,MORONA,4678.566067980016,57.0,7.0,55.635894736842104,3462923310162970.5,1986-02-22 18:47:21.310000+00:00,2024-11-07 05:59:19.771000+00:00,44.0,2460104829984225.5,7.0,Morona Santiago,54935.0,11.741845514584844
Muisne,MUISNE,1248.3780435912624,62.0,7.8,21.694887096774195,3.3099553528265e+16,1983-11-22 14:21:03.080000+00:00,2026-06-16 14:56:02.790000+00:00,61.0,3.309930233962185e+16,7.8,Esmeraldas,36426.0,29.17866121324256
Nabon,NABON,636.2352969228714,0.0,,,0.0,,,0.0,0.0,,Azuay,14776.0,23.224112323638096
Nangaritza,NANGARITZA,2032.6197712194328,51.0,7.0,54.81149019607843,2112550535562576.8,1983-04-12 12:07:54.520000+00:00,2026-05-08 17:50:10.736000+00:00,36.0,46207231105951.516,5.5,Zamora Chinchipe,6429.0,3.162913246752018
Naranjal,NARANJAL,1741.9996883980657,16.0,5.2,58.37375,11568858474895.955,1987-01-15 22:37:46.400000+00:00,2025-06-21 19:18:48.533000+00:00,9.0,8888431002326.254,5.2,Guayas,83691.0,48.04306255471368
Naranjito,NARANJITO,226.64856567166638,1.0,4.6,109.25,501187233627.2715,2020-02-09 20:33:28.059000+00:00,2020-02-09 20:33:28.059000+00:00,0.0,0.0,,Guayas,44169.0,194.87879779475534
Nobol,NOBOL,137.67314077676392,1.0,4.6,76.274,501187233627.2715,2023-01-26 03:16:21.968000+00:00,2023-01-26 03:16:21.968000+00:00,0.0,0.0,,Guayas,23850.0,173.23640519447883
Olmedo,OLMEDO,113.30378772367597,0.0,,,0.0,,,0.0,0.0,,Loja,4164.0,36.75075726643065
Olmedo,OLMEDO,255.41607888317097,0.0,,,0.0,,,0.0,0.0,,Loja,4164.0,16.302810763548845
Oña,ONA,295.821626655638,2.0,5.9,78.05,44794251756275.945,1999-08-03 15:58:57.600000+00:00,2019-08-22 20:53:41.326000+00:00,1.0,125892541179.41713,4.2,Azuay,3422.0,11.567781702395628
Orellana,ORELLANA,7094.923177422022,5.0,5.9,121.30199999999999,44946771512253.96,1996-05-09 02:18:22.190000+00:00,2016-04-29 00:56:54.920000+00:00,2.0,152220828261.39383,4.1,Orellana,95130.0,13.408179006466142
Otavalo,OTAVALO,500.60276129620325,1.0,4.4,5.2,251188643150.95822,2010-04-18 08:35:04+00:00,2010-04-18 08:35:04+00:00,1.0,251188643150.95822,4.4,Imbabura,114303.0,228.33074213181914
Pablo Sexto,PABLO SEXTO,1396.701127032914,12.0,5.2,107.74941666666666,12518278399532.21,1985-06-24 16:20:09.630000+00:00,2023-09-03 21:08:18.680000+00:00,4.0,7477521254131.14,5.2,Morona Santiago,2267.0,1.6231103105185487
Pajan,PAJAN,1096.3853554207863,7.0,5.5,44.30614285714285,20770364289571.54,1996-08-05 09:24:56+00:00,2023-05-13 18:59:37.367000+00:00,7.0,20770364289571.54,5.5,Manabí,41879.0,38.19733617650072
Palanda,PALANDA,2004.777153829281,0.0,,,0.0,,,0.0,0.0,,Zamora Chinchipe,8873.0,4.425928329765669
Palenque,PALENQUE,583.97484946896,0.0,,,0.0,,,0.0,0.0,,Los Ríos,24838.0,42.532653628125495
Palestina,PALESTINA,195.20490123266322,0.0,,,0.0,,,0.0,0.0,,Guayas,18019.0,92.30813307563058
Pallatanga,PALLATANGA,382.0606316241226,3.0,4.6,9.383666666666667,878268417957.6469,2014-01-20 04:36:16+00:00,2026-01-03 08:46:48.944000+00:00,3.0,878268417957.6469,4.6,Chimborazo,11796.0,30.874680675304685
