,,,,,,
,,,,,,
,Tabla N°:,1.1 ,,,,
,Nombre de la tabla:,"Población por sexo al nacer, según provincia, cantón y área de residencia",,,,
,Fuente:,VIII Censo de Población y VII de Vivienda ,,,,
,Elaboración:,Instituto Nacional de Estadística y Censos (INEC) - Componente de Metodología y Análisis – CPV 2022 ,,,,
,,,,,,
,,,,,,
Índice,"Provincia, cantón y área de residencia",,,Número total de personas ,Sexo al nacer,
,,,,,Hombres,Mujeres
,,,,,,
,Imbabura,Otavalo,Urbana,"41,718","19,838","21,880"
,Imbabura,Otavalo,Rural,"72,585","35,177","37,408"
,Imbabura,Pimampiro,Total Pimampiro,"13,366","6,542","6,824"
,Imbabura,Pimampiro,Urbana,"5,848","2,822","3,026"
,Imbabura,Pimampiro,Rural,"7,518","3,720","3,798"
,Imbabura,San Miguel de Urcuquí,Total San Miguel de Urcuquí,"17,969","8,937","9,032"
,Imbabura,San Miguel de Urcuquí,Urbana,"4,480","2,192","2,288"
,Imbabura,San Miguel de Urcuquí,Rural,"13,489","6,745","6,744"
,Loja,Total Loja,Total Loja,"485,421","235,444","249,977"
,Loja,Total Loja,Urbana,"293,339","139,619","153,720"
,Loja,Total Loja,Rural,"192,082","95,825","96,257"
,Loja,Loja,Total Loja,"250,028","119,350","130,678"
,Loja,Loja,Urbana,"203,496","96,587","106,909"
,Loja,Loja,Rural,"46,532","22,763","23,769"
,Loja,Calvas,Total Calvas,"26,042","12,767","13,275"
,Loja,Calvas,Urbana,"13,175","6,294","6,881"
,Loja,Calvas,Rural,"12,867","6,473","6,394"
,Loja,Catamayo,Total Catamayo,"35,240","17,034","18,206"
,Loja,Catamayo,Urbana,"27,026","12,986","14,040"
,Loja,Catamayo,Rural,"8,214","4,048","4,166"
,Loja,Celica,Total Celica,"14,379","7,301","7,078"
,Loja,Celica,Urbana,"4,486","2,177","2,309"
,Loja,Celica,Rural,"9,893","5,124","4,769"
,Loja,Chaguarpamba,Total Chaguarpamba,"6,857","3,465","3,392"
,Loja,Chaguarpamba,Urbana,"1,342",647,695
,Loja,Chaguarpamba,Rural,"5,515","2,818","2,697"
,Loja,Espíndola,Total Espíndola,"14,119","7,146","6,973"
,Loja,Espíndola,Urbana,"2,073","1,009","1,064"
,Loja,Espíndola,Rural,"12,046","6,137","5,909"
,Loja,Gonzanamá,Total Gonzanamá,"12,247","6,076","6,171"
,Loja,Gonzanamá,Urbana,"1,973",957,"1,016"
,Loja,Gonzanamá,Rural,"10,274","5,119","5,155"
,Loja,Macará,Total Macará,"18,215","8,964","9,251"
